 An,Ac,Reco,NEE
   0.00000000     ,  -0.00000000     ,   1.51996303     ,   1.51996303    
   0.00000000     ,  -0.00000000     ,   1.51996303     ,   1.51996303    
   0.00000000     ,  -0.00000000     ,   1.57511401     ,   1.57511401    
   0.00000000     ,  -0.00000000     ,   1.68738151     ,   1.68738151    
   0.00000000     ,  -0.00000000     ,   1.85994041     ,   1.85994041    
   0.00000000     ,  -0.00000000     ,   2.09551692     ,   2.09551692    
   4.72250271     ,  -5.66977309E-03 ,   2.39362359     ,   2.39929342    
   7.83605528     ,  -9.40786209E-03 ,   2.74699879     ,   2.75640655    
   9.51215553     ,  -1.14201661E-02 ,   3.13778448     ,   3.14920473    
   10.9673548     ,  -1.31672584E-02 ,   3.53521061     ,   3.54837775    
   12.1718616     ,  -1.46133732E-02 ,   3.89673638     ,   3.91134977    
